date,credit_source,product,model,key,tool_action,user,requests,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,debited_usd,credited_usd,net_usd
2026-08-23,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:9ed483d794d2041d3d40a63870ac39c7d35c097c5825b55a29ed07eb355b7176,,Ole00007,22,2016459,86009,1708288,0,0,0,0
2026-08-23,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:c47fdbc3d09d4c583897bb92dfad8dac97d99138939ecaf48b82d945375da325,,Ole00007,20,1103224,28133,1003520,0,0,0,0
2026-08-24,Subscription credits,Hermes Agent,,,fal.queue.fal-ai.flux-2.klein.9b,Ole00007,1,0,0,0,0,0.01155,0,-0.01155
2026-08-24,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:61dbfcb28e08736b691ccb4e2c2e129685100ea55f55346f9e3252b744b4d1c3,,Ole00007,22,3465653,25826,3349760,0,0.0384578622,0,-0.0384578622
2026-08-24,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:eb630d6c577387b7f57bba3aad2a4718644d194245ba4efd19d7f6d41e1ae596,,Ole00007,37,4613918,15550,4292608,0,0.0556059791,0,-0.0556059791
2026-08-24,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:bcbac2bebf200f0e1588c1ab137e631e7fef4a2ae13ff41d83255f966221ff4d,,Ole00007,3,18190,31626,0,0,0,0,0
2026-08-24,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:c4fbaec6ab05e22fde920a871cd3439e3644ae4a987a7746e0b3fa52a7bfceab,,Ole00007,7,204071,16986,123584,0,0,0,0
2026-08-24,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:d73687ee377c5cc6193f4db02d4c6560f59968dc5878622cbbb9d73c9852e259,,Ole00007,4,637779,10554,617792,0,0,0,0
2026-08-24,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:eb630d6c577387b7f57bba3aad2a4718644d194245ba4efd19d7f6d41e1ae596,,Ole00007,60,3955233,199198,3332160,0,0,0,0
2026-08-24,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:ed4825de670db2d4d6a1ff2074e7f7747b47ba3b86bc602f08bae3f23299ab64,,Ole00007,48,4863635,223105,4187968,0,0,0,0
2026-08-25,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:85a8ee1be757c4ddc848069b5314e7be110b685545b6162056b850b510d487c7,,Ole00007,54,10887277,41782,10272000,0,0.1819341653,0,-0.1819341653
2026-08-25,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:48d8580b1d682978dd73e3187e2b971360d523fcf7b53d77d40564913bee3668,,Ole00007,9,205555,16185,129920,0,0,0,0
2026-08-26,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:4c4c9e0b01304569b2277195040cb9ae2cc2def34e611f6b6ed560054cf182ea,,Ole00007,32,4736141,26251,4443648,0,0.0800045729,0,-0.0800045729
2026-08-26,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:537c3366c7efef0c7ca09fe1db830fe7fc89c69636c2358f2ea14e915bc089f6,,Ole00007,30,5173863,32547,5050624,0,0.0777175914,0,-0.0777175914
2026-08-26,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:92e2d00bc69685a3db0bf9bf48fa72b4c438ee8fb257ee98c056eb5ba2c0c018,,Ole00007,36,2653293,34056,2406656,0,0.0526049796,0,-0.0526049796
2026-08-26,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:b0f2a3189f33ef313a9efcc12058c4b6ade7c238512595428d88ebaa95bf15ec,,Ole00007,23,2877352,28253,2706944,0,0.0498229,0,-0.0498229
2026-08-26,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:bd50a0e27f7c76fbb225f31922f7badab86b77d7266fa4a17f37c6dbf156395a,,Ole00007,35,6896823,14872,6796544,0,0.0965801886,0,-0.0965801886
2026-08-26,Subscription credits,Hermes Agent,deepseek/deepseek-v4-flash,nas_jwt:fa9f7decbe770814be3467b7d7022a5d930edb0de1b4f4024efdb579af9e8bce,,Ole00007,48,4724536,49705,4503040,0,0.0807176451,0,-0.0807176451
2026-08-26,Subscription credits,Hermes Agent,stepfun/step-3.7-flash:free,nas_jwt:4c4c9e0b01304569b2277195040cb9ae2cc2def34e611f6b6ed560054cf182ea,,Ole00007,2,2166,3699,0,0,0,0,0
2026-08-26,Subscription credits,Hermes Agent,stepfun/step-3.7-flash:free,nas_jwt:537c3366c7efef0c7ca09fe1db830fe7fc89c69636c2358f2ea14e915bc089f6,,Ole00007,1,229,3682,0,0,0,0,0
2026-08-26,Subscription credits,Hermes Agent,tencent/hy3:free,nas_jwt:4c4c9e0b01304569b2277195040cb9ae2cc2def34e611f6b6ed560054cf182ea,,Ole00007,7,76903,4798,46208,0,0,0,0
